Variable,Normal,High,p_value
"Female, n (%)",587 (52.1778%),198 (52.8000%),0.88136916104982
"Male, n (%)",538 (47.8222%),177 (47.2000%),0.88136916104982
"Age, years",52.5006 ± 10.1075,52.8123 ± 10.0940,0.6048510852447608
"Hematocrit, %",42.4550 ± 3.6790,42.3444 ± 3.7145,0.6169407143242236
"Total protein, g/dL",6.9850 ± 0.5083,7.0252 ± 0.4609,0.15445514565267293
"Whole blood viscosity, cP",5.9302 ± 0.4507,5.9237 ± 0.4583,0.8132489997254421
"Fasting TG (TG0h), mg/dL",115.4315 ± 48.1690,260.5150 ± 111.8678,1.7549873056935602e-82
"4-h TG (TG4h), mg/dL",196.4350 ± 67.0377,479.1696 ± 156.9677,3.435108856533855e-122
"Postprandial response (TGR), %",81.6243 ± 59.8134,103.4164 ± 76.1138,6.095169263629549e-07
"HDL-C, mg/dL",51.9716 ± 6.2670,50.3304 ± 6.3310,1.5268515706589954e-05
"LDL-C, mg/dL",123.2001 ± 25.5565,124.1301 ± 28.4537,0.5743930595037021
"BMI, kg/m^2",23.7556 ± 2.9612,24.8269 ± 2.7599,3.0616852791127187e-10
