,TG0h,TG4h,Hematocrit,TotalProtein,WBV,TGR,BMI,HDL,LDL,Age
TG0h,1.0,0.8591462478359899,-0.014285822227510027,0.04542697522133594,-0.005486039072782853,-0.27372121314791065,0.1524975289711983,-0.16848607920066921,0.0062602147410221335,0.01888097800914167
TG4h,0.8591462478359899,1.0,-0.022747489063614287,0.035682508550822736,-0.015579802393094772,0.16642366870314854,0.18915119529144975,-0.1566059360857595,0.0033219755346180387,0.016597678202437665
Hematocrit,-0.014285822227510027,-0.022747489063614287,1.0,0.02457788339696652,0.9824199390079904,-0.01017889065732398,-0.014783079000614931,0.00940174810546809,0.004171798439214511,0.018796507662856895
TotalProtein,0.04542697522133594,0.035682508550822736,0.02457788339696652,1.0,0.2107738040250234,-0.002252119710718341,0.002699126081305118,0.0060980393327468236,-0.05757519504731893,-0.03546767975478482
WBV,-0.005486039072782853,-0.015579802393094772,0.9824199390079904,0.2107738040250234,1.0,-0.010373789798390553,-0.013951304783998891,0.010332066437405493,-0.006672327653663005,0.011756530583613183
TGR,-0.27372121314791065,0.16642366870314854,-0.01017889065732398,-0.002252119710718341,-0.010373789798390553,1.0,0.05363379013273656,0.03394534433395729,0.003425922491716177,-0.009526405789708297
BMI,0.1524975289711983,0.18915119529144975,-0.014783079000614931,0.002699126081305118,-0.013951304783998891,0.05363379013273656,1.0,-0.3173885927159742,-0.019142499702937948,0.03922132711674193
HDL,-0.16848607920066921,-0.1566059360857595,0.00940174810546809,0.0060980393327468236,0.010332066437405493,0.03394534433395729,-0.3173885927159742,1.0,-0.003178225008855078,-0.0033637091845261043
LDL,0.0062602147410221335,0.0033219755346180387,0.004171798439214511,-0.05757519504731893,-0.006672327653663005,0.003425922491716177,-0.019142499702937948,-0.003178225008855078,1.0,0.2307893183017165
Age,0.01888097800914167,0.016597678202437665,0.018796507662856895,-0.03546767975478482,0.011756530583613183,-0.009526405789708297,0.03922132711674193,-0.0033637091845261043,0.2307893183017165,1.0
