repeat,fold,cutoff_tg4h,auroc,brier,best_params
1,1,329.3225,0.9381333333333334,0.078173843753391,"{""model__C"": 10.0}"
1,2,329.2875,0.9131555555555556,0.09423486893453081,"{""model__C"": 0.1}"
1,3,327.5625,0.9146792763157895,0.09682288607823289,"{""model__C"": 0.1}"
1,4,329.2875,0.8746074074074074,0.10428111026105247,"{""model__C"": 0.1}"
1,5,329.2875,0.9277037037037038,0.08425853349582531,"{""model__C"": 0.1}"
2,1,329.2875,0.8846518518518519,0.10671516035036245,"{""model__C"": 0.1}"
2,2,329.2875,0.9099555555555554,0.08290150449190274,"{""model__C"": 1.0}"
2,3,329.2875,0.9493925925925926,0.07597342223882016,"{""model__C"": 0.1}"
2,4,327.5625,0.8831943139097744,0.10574816381355819,"{""model__C"": 0.1}"
2,5,329.3225,0.9492148148148148,0.07646789913198666,"{""model__C"": 1.0}"
3,1,329.2875,0.8697185185185186,0.10492501737414783,"{""model__C"": 0.1}"
3,2,327.5925,0.9117716165413534,0.09632403000450718,"{""model__C"": 0.1}"
3,3,329.2875,0.9040296296296297,0.08826166694992486,"{""model__C"": 1.0}"
3,4,329.2875,0.9349333333333333,0.07841091807373278,"{""model__C"": 0.1}"
3,5,329.4075,0.9542518518518518,0.07822914759666494,"{""model__C"": 0.01}"
4,1,329.3225,0.9362666666666667,0.07625585054656947,"{""model__C"": 0.1}"
4,2,329.2875,0.9251555555555556,0.0906757554586908,"{""model__C"": 0.1}"
4,3,327.5925,0.8939144736842106,0.10207333336103927,"{""model__C"": 1.0}"
4,4,329.2875,0.8871407407407408,0.10277061296107183,"{""model__C"": 1.0}"
4,5,329.2875,0.9346666666666666,0.0796764177175611,"{""model__C"": 0.1}"
5,1,329.2875,0.8964444444444445,0.09619665761615234,"{""model__C"": 0.1}"
5,2,327.5925,0.9004346804511277,0.09849617786708684,"{""model__C"": 1.0}"
5,3,329.3225,0.9156148148148149,0.08389049868661011,"{""model__C"": 1.0}"
5,4,329.2875,0.9362962962962963,0.08158077642503411,"{""model__C"": 0.1}"
5,5,329.2875,0.9279111111111111,0.0854083270736129,"{""model__C"": 0.1}"
6,1,327.5925,0.9180568609022557,0.09037274115936754,"{""model__C"": 0.1}"
6,2,329.39250000000004,0.9006518518518518,0.09188049113504915,"{""model__C"": 0.1}"
6,3,329.2875,0.9310518518518519,0.07598796147970503,"{""model__C"": 0.1}"
6,4,329.2875,0.8966222222222222,0.09577153955042288,"{""model__C"": 0.1}"
6,5,329.2875,0.9211851851851853,0.09148912654888579,"{""model__C"": 1.0}"
7,1,327.5925,0.9133576127819549,0.0891198393800346,"{""model__C"": 0.1}"
7,2,329.2875,0.9390814814814815,0.08047289242105447,"{""model__C"": 1.0}"
7,3,329.3225,0.8840592592592593,0.10609323749677735,"{""model__C"": 0.1}"
7,4,329.2875,0.9100148148148148,0.0943339564983039,"{""model__C"": 0.1}"
7,5,329.2875,0.9341037037037038,0.07546270542861964,"{""model__C"": 1.0}"
8,1,327.5625,0.916265272556391,0.0933497649998261,"{""model__C"": 0.1}"
8,2,329.2875,0.9000296296296296,0.09652781602725533,"{""model__C"": 0.1}"
8,3,329.3225,0.8968888888888888,0.10002897455768132,"{""model__C"": 10.0}"
8,4,329.2875,0.9186074074074073,0.08476834205127838,"{""model__C"": 1.0}"
8,5,329.2875,0.9414222222222223,0.07075995356820915,"{""model__C"": 1.0}"
9,1,329.2875,0.8976000000000001,0.09832079658267788,"{""model__C"": 10.0}"
9,2,329.3225,0.9345481481481482,0.08016765805864019,"{""model__C"": 0.1}"
9,3,329.2875,0.912088888888889,0.09311501911335913,"{""model__C"": 0.1}"
9,4,327.5925,0.9106849154135338,0.09281790391493647,"{""model__C"": 0.1}"
9,5,329.2875,0.9252740740740741,0.08469590212840522,"{""model__C"": 0.1}"
10,1,329.2875,0.9227851851851852,0.08841577403750689,"{""model__C"": 0.1}"
10,2,329.3225,0.9170074074074074,0.09085397300150658,"{""model__C"": 1.0}"
10,3,329.2875,0.9028444444444446,0.08711101101008252,"{""model__C"": 1.0}"
10,4,327.5925,0.9342105263157895,0.09151616040783804,"{""model__C"": 1.0}"
10,5,329.2875,0.8929481481481482,0.09256637543234449,"{""model__C"": 0.1}"
