repeat,fold,cutoff_tg4h,auroc,brier,best_params
1,1,329.3225,0.9379555555555557,0.07826921881807378,"{""model__C"": 10.0}"
1,2,329.2875,0.9138962962962963,0.0934463326823359,"{""model__C"": 0.1}"
1,3,327.5625,0.9157659774436091,0.09543146425051403,"{""model__C"": 0.1}"
1,4,329.2875,0.8749037037037037,0.10045076250801162,"{""model__C"": 0.1}"
1,5,329.2875,0.9282370370370371,0.0833482248526131,"{""model__C"": 0.1}"
2,1,329.2875,0.8877629629629629,0.10430322185283292,"{""model__C"": 0.1}"
2,2,329.2875,0.914962962962963,0.08229527614965,"{""model__C"": 1.0}"
2,3,329.2875,0.9472592592592592,0.07691301921248982,"{""model__C"": 0.1}"
2,4,327.5625,0.8851621240601504,0.10431898104910999,"{""model__C"": 0.1}"
2,5,329.3225,0.9495703703703703,0.07666337480548387,"{""model__C"": 1.0}"
3,1,329.2875,0.8727703703703704,0.10154143332342098,"{""model__C"": 0.1}"
3,2,327.5925,0.9133576127819549,0.09546055347237041,"{""model__C"": 0.1}"
3,3,329.2875,0.9029925925925926,0.08944574343893638,"{""model__C"": 1.0}"
3,4,329.2875,0.9344,0.07968302021119525,"{""model__C"": 0.1}"
3,5,329.4075,0.9552592592592593,0.07655355810125745,"{""model__C"": 0.01}"
4,1,329.3225,0.9389037037037037,0.07548405529395467,"{""model__C"": 0.1}"
4,2,329.2875,0.9284148148148148,0.08950181188646769,"{""model__C"": 0.1}"
4,3,327.5925,0.8931508458646616,0.10129149755507268,"{""model__C"": 1.0}"
4,4,329.2875,0.8865185185185186,0.10193634229227236,"{""model__C"": 1.0}"
4,5,329.2875,0.9337481481481482,0.07766847389231879,"{""model__C"": 0.1}"
5,1,329.2875,0.8958814814814814,0.09555279210629508,"{""model__C"": 0.1}"
5,2,327.5925,0.8994360902255639,0.09881172558702653,"{""model__C"": 1.0}"
5,3,329.3225,0.9165037037037037,0.08466748964015369,"{""model__C"": 1.0}"
5,4,329.2875,0.9392592592592592,0.0815711887596165,"{""model__C"": 0.1}"
5,5,329.2875,0.928711111111111,0.08528807765757808,"{""model__C"": 0.1}"
6,1,327.5925,0.9170582706766917,0.09012282328105663,"{""model__C"": 0.1}"
6,2,329.39250000000004,0.9015703703703704,0.09196167991300061,"{""model__C"": 0.1}"
6,3,329.2875,0.9338074074074074,0.07551579181380905,"{""model__C"": 0.1}"
6,4,329.2875,0.8945185185185186,0.09617606870840642,"{""model__C"": 0.1}"
6,5,329.2875,0.9259851851851851,0.0893235572839015,"{""model__C"": 1.0}"
7,1,327.5925,0.9145324248120301,0.08808103506109266,"{""model__C"": 0.1}"
7,2,329.2875,0.9395555555555556,0.07990943176351369,"{""model__C"": 1.0}"
7,3,329.3225,0.8867555555555555,0.10387030708799419,"{""model__C"": 0.1}"
7,4,329.2875,0.9096296296296297,0.09559008803841951,"{""model__C"": 0.1}"
7,5,329.2875,0.9335111111111112,0.07623982175160172,"{""model__C"": 1.0}"
8,1,327.5625,0.9204652255639098,0.09112634424707293,"{""model__C"": 0.1}"
8,2,329.2875,0.9002666666666668,0.09527889517558726,"{""model__C"": 0.1}"
8,3,329.3225,0.8975407407407408,0.09876392569224395,"{""model__C"": 10.0}"
8,4,329.2875,0.9185185185185185,0.08551396517347458,"{""model__C"": 1.0}"
8,5,329.2875,0.9438222222222223,0.07129457796405798,"{""model__C"": 1.0}"
9,1,329.2875,0.8996740740740741,0.09628793573333795,"{""model__C"": 10.0}"
9,2,329.3225,0.9351703703703703,0.07902917775395163,"{""model__C"": 0.1}"
9,3,329.2875,0.9122370370370371,0.09214326970557224,"{""model__C"": 0.1}"
9,4,327.5925,0.9117716165413533,0.0911509371856604,"{""model__C"": 0.1}"
9,5,329.2875,0.9246814814814815,0.08464740355309894,"{""model__C"": 0.1}"
10,1,329.2875,0.9237333333333333,0.08735956240455434,"{""model__C"": 0.1}"
10,2,329.3225,0.9184592592592593,0.090437728934276,"{""model__C"": 1.0}"
10,3,329.2875,0.9050074074074075,0.08619236262162573,"{""model__C"": 1.0}"
10,4,327.5925,0.9352678571428571,0.08903471271212741,"{""model__C"": 1.0}"
10,5,329.2875,0.8921481481481481,0.09200944883971116,"{""model__C"": 0.1}"
